Leitores;Escritores;Media
0;100;0.18
1;99;0.18
2;98;0.62
3;97;0.18
4;96;0.18
5;95;0.18
6;94;0.18
7;93;0.2
8;92;0.18
9;91;0.22
10;90;0.18
11;89;0.2
12;88;0.18
13;87;0.18
14;86;0.18
15;85;0.2
16;84;0.18
17;83;0.2
18;82;0.18
19;81;0.2
20;80;0.18
21;79;0.18
22;78;0.2
23;77;0.6
24;76;0.6
25;75;0.18
26;74;0.18
27;73;0.2
28;72;0.18
29;71;0.18
30;70;0.2
31;69;0.18
32;68;0.2
33;67;0.18
34;66;0.18
35;65;0.18
36;64;0.18
37;63;0.18
38;62;0.18
39;61;0.18
40;60;0.18
41;59;0.18
42;58;0.2
43;57;0.18
44;56;0.2
45;55;0.18
46;54;0.2
47;53;0.18
48;52;0.18
49;51;0.18
50;50;0.2
51;49;0.18
52;48;0.18
53;47;0.18
54;46;0.18
55;45;0.2
56;44;0.18
57;43;0.18
58;42;0.18
59;41;0.18
60;40;0.18
61;39;0.18
62;38;0.2
63;37;0.18
64;36;0.18
65;35;0.2
66;34;0.18
67;33;0.18
68;32;0.18
69;31;0.2
70;30;0.18
71;29;0.18
72;28;0.2
73;27;0.18
74;26;0.18
75;25;0.18
76;24;0.2
77;23;0.18
78;22;0.18
79;21;0.18
80;20;0.2
81;19;0.18
82;18;0.2
83;17;0.18
84;16;0.2
85;15;0.18
86;14;0.2
87;13;0.18
88;12;0.18
89;11;0.18
90;10;0.18
91;9;0.2
92;8;0.18
93;7;0.2
94;6;0.18
95;5;0.2
96;4;0.2
97;3;0.18
98;2;0.2
99;1;0.2
100;0;0.18
